case,fr,mb,pd,determinism_pass,baseline_digest,switch_digest_run1,switch_digest_run2,baseline_survivors_A,baseline_survivors_B,switch_survivors_A,switch_survivors_B,baseline_first_contact_tick,switch_first_contact_tick,baseline_mirror_abs_antisym_error,switch_mirror_abs_antisym_error,mirror_delta_ratio_vs_baseline,baseline_jitter_count,switch_jitter_count,jitter_delta_ratio_vs_baseline,baseline_per_tick_seconds,switch_per_tick_seconds,runtime_delta_ratio_vs_baseline,baseline_no_new_attractor_proxy,switch_no_new_attractor_proxy,baseline_stable_locking_proxy,switch_stable_locking_proxy,baseline_pocket_count,switch_pocket_count,baseline_pocket_mean,switch_pocket_mean
FR5_MB2_PD5,5.0,2.0,5.0,True,5ef909f09a01aa99f41f8ca85b0f8ced1bc1b2119886993fec66dcb31dc82dff,801b76c7619c94e12958f23502317ec5acaf258650fd7ed5d4c74963f9c33001,801b76c7619c94e12958f23502317ec5acaf258650fd7ed5d4c74963f9c33001,30,20,25,32,104,107,0.2833333333333333,0.0284673949023502,-0.8995268415211171,6073,4281,-0.29507656841758606,0.022904084666709727,0.023300489000199983,0.01730714583265645,True,True,False,False,56,59,26.625,8.389830508474576
FR5_MB2_PD8,5.0,2.0,8.0,True,5ef909f09a01aa99f41f8ca85b0f8ced1bc1b2119886993fec66dcb31dc82dff,ad15fcf811d47f9c7ffaedd598297d501444f7d80a650f4f0a44f8017197427b,ad15fcf811d47f9c7ffaedd598297d501444f7d80a650f4f0a44f8017197427b,30,20,26,27,104,107,0.2833333333333333,0.00132406487917908,-0.9953268298381915,6073,4377,-0.2792688951095011,0.023843804333203784,0.023125661333324388,-0.030118641716890084,True,True,False,False,56,46,26.625,11.347826086956522
FR5_MB5_PD2,5.0,5.0,2.0,True,749d5360997014acbf19381e74e329c6d21992d765d6ffdd362613a08308c32f,75fd086cbf64536e2605c3110e50d98977df9321c3d365a9213834330e305d61,75fd086cbf64536e2605c3110e50d98977df9321c3d365a9213834330e305d61,26,24,31,22,105,102,0.08,0.33962264150943394,3.245283018867924,6183,6162,-0.003396409509946628,0.023665948666942615,0.024166940666812783,0.02116931828597984,True,True,False,False,68,66,20.13235294117647,22.46969696969697
FR5_MB5_PD5,5.0,5.0,5.0,True,749d5360997014acbf19381e74e329c6d21992d765d6ffdd362613a08308c32f,2598d6a0c8c49789e63d998888f06ec25240059ee2c5106585b001f8ba201bcb,2598d6a0c8c49789e63d998888f06ec25240059ee2c5106585b001f8ba201bcb,26,24,28,28,105,106,0.08,0.0,-1.0,6183,4482,-0.27510917030567683,0.022961235666492334,0.022606634999780606,-0.015443448770015522,True,True,False,False,68,55,20.13235294117647,11.654545454545454
FR5_MB5_PD8,5.0,5.0,8.0,True,749d5360997014acbf19381e74e329c6d21992d765d6ffdd362613a08308c32f,accfa919deb6f6cfefc97ee15884c3505165598229a4b5a4ba946d9d58fbd309,accfa919deb6f6cfefc97ee15884c3505165598229a4b5a4ba946d9d58fbd309,26,24,26,29,105,107,0.08,0.10909090909090909,0.36363636363636354,6183,4485,-0.27462396894711305,0.022036232999914016,0.023412158333230765,0.0624392260384122,True,True,False,False,68,55,20.13235294117647,10.090909090909092
FR5_MB8_PD2,5.0,8.0,2.0,True,82284dc3b1750a6990b3ee62e0ad6dfc51082aecf7131c33d984d37f77069b26,70a2b3d9a9805325bb3dbbf8712a35bb70431af8c524d245a868c6dccd0d3f7b,70a2b3d9a9805325bb3dbbf8712a35bb70431af8c524d245a868c6dccd0d3f7b,27,24,31,22,102,104,0.08932461873638343,0.4528301886792453,4.069489185457893,6318,6038,-0.044317822095599875,0.02327869433327578,0.0236490496667102,0.01590962655087631,True,True,False,False,55,57,25.509090909090908,24.035087719298247
FR5_MB8_PD5,5.0,8.0,5.0,True,82284dc3b1750a6990b3ee62e0ad6dfc51082aecf7131c33d984d37f77069b26,347e60bc802abc48b2100b1d313ccfb95ec287954cca116d123a1a5e49bba4e8,347e60bc802abc48b2100b1d313ccfb95ec287954cca116d123a1a5e49bba4e8,27,24,28,23,102,107,0.08932461873638343,0.31115396978463516,2.4834066373450625,6318,4870,-0.22918645140867364,0.023325002999821057,0.0231189019997449,-0.008836054601053607,True,True,False,False,55,42,25.509090909090908,12.119047619047619
FR5_MB8_PD8,5.0,8.0,8.0,True,82284dc3b1750a6990b3ee62e0ad6dfc51082aecf7131c33d984d37f77069b26,f11054a84bf134028b61951ad90d4ddabb305cd3059a7996c95649786857701d,f11054a84bf134028b61951ad90d4ddabb305cd3059a7996c95649786857701d,27,24,26,32,102,107,0.08932461873638343,0.17752234993614302,0.9873843566021867,6318,4682,-0.2589427033871478,0.025064191999845206,0.02462056800024584,-0.017699513297779777,True,True,False,False,55,57,25.509090909090908,7.912280701754386
FR8_MB2_PD2,8.0,2.0,2.0,True,99710aa39988daf62c1cfe67caa587f0845fd4b59293383f60e8e3afde05d8b5,bdfb08596464546734fd4624311631b832656fbd95235abf5808eafcc773509c,bdfb08596464546734fd4624311631b832656fbd95235abf5808eafcc773509c,15,34,22,29,99,100,0.2723704866562009,0.12590299277605776,-0.537750971767442,6681,6796,0.01721299206705583,0.02333631266645777,0.023161210333540416,-0.007503427616010434,True,True,False,False,58,40,28.03448275862069,38.75
FR8_MB2_PD5,8.0,2.0,5.0,True,99710aa39988daf62c1cfe67caa587f0845fd4b59293383f60e8e3afde05d8b5,6ad639d04ef18efb75076c062f0bc1a1ba6170dbd3dade5b6d6ef4a0542bceca,6ad639d04ef18efb75076c062f0bc1a1ba6170dbd3dade5b6d6ef4a0542bceca,15,34,23,29,99,104,0.2723704866562009,0.011888111888111869,-0.9563531569295257,6681,5372,-0.19592875318066158,0.02293461333339413,0.02234751233365387,-0.025598905514810213,True,True,False,False,58,47,28.03448275862069,18.425531914893618
FR8_MB2_PD8,8.0,2.0,8.0,True,99710aa39988daf62c1cfe67caa587f0845fd4b59293383f60e8e3afde05d8b5,46c6b07ba3faf67b847b640f08eb5a6ff083376a44d8cbb93dbfe757bdfc165e,46c6b07ba3faf67b847b640f08eb5a6ff083376a44d8cbb93dbfe757bdfc165e,15,34,21,36,99,106,0.2723704866562009,0.029824561403508754,-0.8905000252793367,6681,4791,-0.2828917826672654,0.023328508000122383,0.022850601333581532,-0.02048595077483495,True,True,False,False,58,43,28.03448275862069,17.232558139534884
FR8_MB5_PD2,8.0,5.0,2.0,True,a0ee97f5b2452d0f2d86661edcabf8ce491e64926620f42d739e094352ec5b36,307df0be41bb8a60c64b323f2382e07ffc6205f7569c974f9692c19fc68772a1,307df0be41bb8a60c64b323f2382e07ffc6205f7569c974f9692c19fc68772a1,30,25,24,27,101,100,0.4780058651026393,0.20433436532507737,-0.5725274933996848,6789,6458,-0.04875533951981146,0.02468770766630769,0.02264585500000976,-0.0827072603862905,True,True,False,False,29,61,59.06896551724138,26.442622950819672
FR8_MB5_PD5,8.0,5.0,5.0,True,a0ee97f5b2452d0f2d86661edcabf8ce491e64926620f42d739e094352ec5b36,eae5cfc3bbeb08f4f588553c6152ccd20ab11172ef8b87a4696c29a0ba7acfb3,eae5cfc3bbeb08f4f588553c6152ccd20ab11172ef8b87a4696c29a0ba7acfb3,30,25,33,20,101,104,0.4780058651026393,0.39343116701607267,-0.17693234384981119,6789,5258,-0.2255118574164089,0.02505425866693258,0.023528364666660005,-0.0609035781324674,True,True,False,False,29,51,59.06896551724138,18.666666666666668
FR8_MB5_PD8,8.0,5.0,8.0,True,a0ee97f5b2452d0f2d86661edcabf8ce491e64926620f42d739e094352ec5b36,c46947092019e82cfa4f5592456f4075967cc9e2ab2d4a604fa6b32a73286087,c46947092019e82cfa4f5592456f4075967cc9e2ab2d4a604fa6b32a73286087,30,25,20,31,101,106,0.4780058651026393,0.0035650623885918054,-0.9925418019968724,6789,5380,-0.20754161143025482,0.023411653666601827,0.022706160666809107,-0.030134266030047624,True,True,False,False,29,43,59.06896551724138,15.837209302325581
FR8_MB8_PD2,8.0,8.0,2.0,True,5a086d0f0c66b330c0d2f2d565908613aba787a6a2a2b136c04a241f2ccc8a56,d2ad9c5c9d656880ae6605222ef8aa76882a0d21d105b43d6df6ff44d9d2d997,d2ad9c5c9d656880ae6605222ef8aa76882a0d21d105b43d6df6ff44d9d2d997,25,32,26,27,99,97,0.27534939042521556,0.3018867924528302,0.09637719548473864,6662,6835,0.025968177724407085,0.023152480333422622,0.023192863333582257,0.0017442191755730732,True,True,False,False,25,28,66.2,52.607142857142854
FR8_MB8_PD5,8.0,8.0,5.0,True,5a086d0f0c66b330c0d2f2d565908613aba787a6a2a2b136c04a241f2ccc8a56,737f0dde512a63b00bd8ef60c02e1580be41cfdcc9eac9d7706ac2e80e5e91b7,737f0dde512a63b00bd8ef60c02e1580be41cfdcc9eac9d7706ac2e80e5e91b7,25,32,24,29,99,104,0.27534939042521556,0.0397941680960549,-0.8554775515042844,6662,5486,-0.17652356649654757,0.02452366966676588,0.024673550666775554,0.006111687281972746,True,True,False,False,25,52,66.2,22.057692307692307
FR8_MB8_PD8,8.0,8.0,8.0,True,5a086d0f0c66b330c0d2f2d565908613aba787a6a2a2b136c04a241f2ccc8a56,a2b0bbbf6a7a041d653ebfe976e0c82f6e2a44a07699842b7acd6e58452cf41c,a2b0bbbf6a7a041d653ebfe976e0c82f6e2a44a07699842b7acd6e58452cf41c,25,32,27,32,99,105,0.27534939042521556,0.21828454031843864,-0.20724523856273305,6662,4767,-0.28444911438006604,0.022377651666756718,0.023697803999918204,0.05899423017307254,True,True,False,False,25,50,66.2,18.22
