cell_FR,cell_MB,cell_PD,opponent_archetype_name,candidate_variant_id,candidate_probe_scale,delta_precontact_ar_p90_A,delta_precontact_wedge_p10_A,delta_precontact_persistent_outlier_p90,delta_precontact_max_persistence_max,delta_precontact_split_p90_A,delta_first_contact_tick,delta_tactical_cut_tick_T,delta_tactical_pocket_tick_T,abs_delta_first_contact_tick,abs_delta_tactical_cut_tick_T,abs_delta_tactical_pocket_tick_T,delta_precontact_ar_p90_gap_AB,delta_precontact_wedge_p10_gap_AB,delta_precontact_ar_jitter_A,delta_precontact_wedge_jitter_A,delta_precontact_split_jitter_A
8,8,5,muller,probe_0.80,0.8,-0.13208512325759525,0.02030298875569614,-4.0,-22.0,-0.00020708628816112906,2.0,-277.0,26.0,2.0,277.0,26.0,-0.08011396020433592,0.0068681353117121535,-0.0033852202914718132,-0.0062822563658830426,-0.003311660732166555
8,8,5,muller,probe_1.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,5,reinhard,probe_0.40,0.4,-0.037302742067874206,0.4871789470893386,-4.0,-53.0,-0.011709417557224322,5.0,63.0,-14.0,5.0,63.0,14.0,-0.18221007629319197,0.00015446867936819153,-0.01180203673857427,-0.0027488172889005916,-0.0034692288165001045
8,8,5,reinhard,probe_0.60,0.6,-0.16045284791819503,0.24173776085706955,-4.0,-53.0,-0.00260088496477473,3.0,-35.0,-14.0,3.0,35.0,14.0,-0.1238556589269868,-0.23253581655306854,-0.007268921912516754,-0.00045192200380544945,-0.0034163934492918296
8,8,5,reinhard,probe_0.80,0.8,-0.18156887440641656,0.09494474041915879,-4.0,-31.0,0.006351174813351568,2.0,-50.0,48.0,2.0,50.0,48.0,-0.1476382857103522,-0.0862923220735139,-0.0024878517426854367,0.0038694375538590245,-0.002304995121155432
8,8,5,reinhard,probe_1.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,5,reuenthal,probe_0.40,0.4,0.06894577119175471,0.3714478795675521,-1.0,-34.0,-0.004965383732919992,2.0,-3.0,-3.0,2.0,3.0,3.0,-0.0417898333267277,-0.021181567573497095,-0.009462145916746085,-0.004187569918115398,0.00034124960236280207
8,8,5,reuenthal,probe_0.60,0.6,-0.022096148764266577,0.1986981304557257,-1.0,-34.0,0.0098528215537812,2.0,0.0,-3.0,2.0,0.0,3.0,0.05773555825426113,-0.20376153805668173,-0.0058616411390680564,0.008026304141507783,-0.00028778219001915047
8,8,5,reuenthal,probe_0.80,0.8,-0.08040357337869874,0.05738580391386705,-1.0,-22.0,0.00696366129877779,1.0,2.0,-4.0,1.0,2.0,4.0,0.0990636122262778,-0.05304886732910252,-0.0023598530531338223,0.0008297084133243905,-4.3997629453171056e-05
8,8,5,reuenthal,probe_1.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
